data.latitude,data.longitude,data.type,data.name,data.number,data.postal_code,data.street,data.confidence,data.region,data.region_code,data.county,data.locality,data.administrative_area,data.neighbourhood,data.country,data.country_code,data.continent,data.label
0.90406,32.443764,country,Uganda,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,Uganda,UGA,Africa,Uganda
60.152468,11.19368,localadmin,Ullensaker,NA,NA,NA,1,Viken,NA,NA,NA,Ullensaker,NA,Norway,NOR,Europe,"Ullensaker, Norway"
60.152468,11.19368,localadmin,Ullensaker,NA,NA,NA,1,Viken,NA,NA,NA,Ullensaker,NA,Norway,NOR,Europe,"Ullensaker, Norway"
41.513101,-81.607469,neighbourhood,University,NA,NA,NA,1,Ohio,OH,Cuyahoga County,Cleveland,Cleveland,University,United States,USA,North America,"University, Cleveland, OH, USA"
28.077051,-82.43741,locality,University,NA,NA,NA,1,Florida,FL,Hillsborough County,University,NA,NA,United States,USA,North America,"University, FL, USA"
45.581192,12.561157,region,Venezia,NA,NA,NA,0.3,Venezia,VE,NA,NA,NA,NA,Italy,ITA,Europe,"Venezia, Italy"
45.581192,12.561157,region,Venezia,NA,NA,NA,0.3,Venezia,VE,NA,NA,NA,NA,Italy,ITA,Europe,"Venezia, Italy"
44.211857,-72.681238,region,Vermont,NA,NA,NA,1,Vermont,VT,NA,NA,NA,NA,United States,USA,North America,"Vermont, USA"
44.211857,-72.681238,region,Vermont,NA,NA,NA,1,Vermont,VT,NA,NA,NA,NA,United States,USA,North America,"Vermont, USA"
46.462626,6.842412,locality,Vevey,NA,NA,NA,1,Vaud,VD,Vaud (unincorporated),Vevey,Vevey,NA,Switzerland,CHE,Europe,"Vevey, VD, Switzerland"
46.462626,6.842412,locality,Vevey,NA,NA,NA,1,Vaud,VD,Vaud (unincorporated),Vevey,Vevey,NA,Switzerland,CHE,Europe,"Vevey, VD, Switzerland"
22.381131,114.135572,locality,Hong Kong,NA,NA,NA,1,Central and Western,CW,NA,Hong Kong,NA,NA,Hong Kong S.A.R.,HKG,Asia,"Hong Kong, CW, Hong Kong S.A.R."
-37.014348,143.480452,region,Victoria,NA,NA,NA,1,Victoria,VIC,NA,NA,NA,NA,Australia,AUS,Oceania,"Victoria, Australia"
52.336717,-3.76532,macroregion,Wales,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,United Kingdom,GBR,Europe,"Wales, United Kingdom"
52.336717,-3.76532,macroregion,Wales,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,United Kingdom,GBR,Europe,"Wales, United Kingdom"
51.455404,-0.191963,borough,Wandsworth,NA,NA,NA,1,Greater London,NA,NA,London,NA,NA,United Kingdom,GBR,Europe,"Wandsworth, London, England, United Kingdom"
51.455404,-0.191963,borough,Wandsworth,NA,NA,NA,1,Greater London,NA,NA,London,NA,NA,United Kingdom,GBR,Europe,"Wandsworth, London, England, United Kingdom"
